Player1,Result,FNL1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1
Lukas Lacko,0,0,61,35,39,18,5,1,17,29,1,3,8,11,3,6,1,NA,NA
Leonardo Mayer,1,3,61,31,39,13,13,1,13,1,7,14,,,6,6,6,NA,NA
Marcos Baghdatis,0,0,52,53,48,20,8,4,37,50,1,9,16,23,4,5,4,NA,NA
Dmitry Tursunov,1,3,53,39,47,24,8,6,8,6,6,9,,,6,6,6,NA,NA
Juan Monaco,0,1,76,63,24,12,0,4,16,35,3,12,9,13,6,4,6,2,NA
Santiago Giraldo,0,1,65,51,35,22,9,3,35,41,2,7,6,12,3,2,6,6,NA
Dudi Sela,0,2,68,73,32,24,5,3,41,50,9,17,14,30,6,6,7,3,3
Fabio Fognini,1,2,47,18,53,15,3,4,21,31,6,20,6,9,6,6,NA,NA,NA
David Guez,0,0,64,26,36,12,3,,20,39,3,7,5,14,5,4,1,NA,NA
Nikolay Davydenko,1,3,77,76,23,11,6,4,6,4,7,24,,,3,6,3,6,6
Pablo Carreno Busta,0,2,53,46,47,35,7,7,47,58,4,5,19,33,3,6,6,1,2
Tommy Robredo,1,3,57,62,43,43,13,0,50,38,6,18,15,19,6,6,3,7,8
Samuel Groth,0,0,65,40,35,17,16,4,35,25,0,2,20,43,4,3,4,NA,NA
Nicolas Mahut,0,2,64,63,36,23,7,4,49,57,6,15,24,46,3,5,6,6,3
Alejandro Falla,1,3,60,50,40,23,4,2,4,2,10,28,,,6,6,6,6,NA
Stanislas Wawrinka,1,2,63,20,37,6,4,1,23,11,4,9,13,14,6,4,NA,NA,NA
Alejandro Gonzalez,0,0,68,34,32,7,2,4,22,41,5,7,11,21,3,4,4,NA,NA
Steve Johnson,0,2,53,50,47,28,21,12,21,12,4,6,,,6,3,0,7,4
Ricardas Berankis,0,0,50,39,50,26,10,3,28,38,1,3,17,31,5,5,2,NA,NA
Jeremy Chardy,1,3,66,46,34,16,9,2,31,27,4,9,12,13,6,6,6,NA,NA
Jordan Thompson,0,2,60,58,40,21,13,8,40,36,3,10,18,28,6,6,4,2,1
Albert Ramos,0,0,61,32,39,10,2,3,2,3,3,7,,,4,2,4,NA,NA
Florian Mayer,1,3,58,36,42,22,6,1,25,23,5,11,11,14,6,6,6,NA,NA
Mikhail Youzhny,1,3,69,39,31,17,5,2,11,30,7,9,5,8,6,6,6,NA,NA
Guillermo Garcia-Lopez,1,2,58,27,42,11,7,3,19,9,4,4,3,5,7,5,NA,NA,NA
Carlos Berlocq,0,1,57,49,43,32,9,4,9,4,4,13,,,4,6,7,2,NA
Dominic Thiem,1,3,55,60,45,31,20,3,20,3,5,12,,,5,6,6,7,NA
Kevin Anderson,1,3,63,76,37,28,21,9,21,9,3,14,,,2,6,6,6,6
Ivo Karlovic,0,0,66,55,34,18,25,1,48,27,1,3,24,50,6,3,6,NA,NA
Jan Hajek,0,0,73,31,27,6,2,6,2,6,1,2,,,4,2,1,NA,NA
Di Wu,0,0,60,46,40,29,3,5,33,36,2,13,23,35,5,5,6,NA,NA
Tomas Berdych,1,3,66,39,34,19,9,0,35,17,4,14,13,23,6,6,6,NA,NA
James Duckworth,0,0,52,36,48,19,13,3,34,38,0,1,19,34,4,4,2,NA,NA
Radek Stepanek,0,2,51,37,49,29,5,11,51,54,4,11,22,32,7,6,1,0,NA
Teymuraz Gabashvili,1,3,58,49,42,24,5,4,5,4,9,17,,,6,6,6,6,NA
Fernando Verdasco,1,3,61,59,39,24,20,6,44,40,5,14,7,11,5,6,6,6,NA
Daniel Brands,0,2,63,109,37,36,41,4,111,81,2,25,29,44,7,4,6,3,1
Marin Cilic,1,3,58,57,42,30,22,4,63,53,5,8,21,31,4,4,6,6,6
Thomaz Bellucci,1,2,53,39,47,24,8,6,33,37,4,7,18,22,4,6,7,NA,NA
Jo-Wilfried Tsonga,1,3,62,37,38,23,15,1,36,25,5,13,12,15,7,6,6,NA,NA
Martin Klizan,1,2,54,25,46,21,9,2,27,10,2,5,1,3,6,7,NA,NA,NA
Blaz Rola,1,3,68,57,32,13,6,8,6,8,4,9,,,6,6,7,NA,NA
Michal Przysiezny,1,3,69,48,31,17,15,0,15,0,5,8,,,6,7,7,NA,NA
Stephane Robert,1,3,46,25,54,21,4,2,22,22,9,17,11,12,7,6,6,NA,NA
Somdev Devvarman,0,0,52,34,48,28,6,1,6,1,2,7,,,4,4,6,NA,NA
Michael Berrer,1,3,63,39,37,19,9,6,9,6,5,12,,,6,7,6,NA,NA
Vincent Millot,1,3,57,63,43,34,18,9,54,68,11,26,8,11,7,4,6,6,6
Andy Murray,1,3,69,33,31,11,12,2,32,13,7,13,4,5,6,6,6,NA,NA
Rhyne Williams,0,1,57,52,43,25,29,1,55,39,1,2,12,18,7,3,4,4,NA
Roberto Bautista Agut,1,3,82,37,18,7,1,1,1,1,8,18,,,6,6,6,NA,NA
Nick Kyrgios,1,3,54,60,46,25,34,13,71,52,6,8,5,8,6,6,6,7,NA
Benoit Paire,1,3,57,54,43,22,24,6,58,25,3,12,22,35,7,6,6,NA,NA
Bradley Klahn,0,1,58,54,42,28,10,9,10,9,0,0,,,7,4,4,3,NA
Jimmy Wang,0,0,63,32,37,12,1,3,1,3,3,7,,,3,2,1,NA,NA
Peter Gojowczyk,0,0,55,44,45,22,8,6,36,59,1,6,5,7,6,6,3,NA,NA
Milos Raonic,1,3,64,56,36,17,21,7,48,29,7,20,21,30,7,6,4,6,NA
Marinko Matosevic,0,2,61,69,39,29,14,9,46,63,3,9,16,30,3,7,2,6,2
Dusan Lajovic,1,3,61,53,39,30,7,7,28,57,5,10,8,17,6,7,4,6,NA
Robin Haase,0,1,67,56,33,18,11,6,38,56,1,4,13,15,7,6,2,0,NA
Andreas Seppi,1,3,59,72,41,40,17,5,67,59,7,18,8,11,7,6,5,5,7
Ryan Harrison,0,0,62,42,38,17,2,1,19,23,0,0,13,20,4,4,4,NA,NA
Tobias Kamke,0,1,49,51,51,36,6,8,6,8,2,12,,,6,7,2,4,NA
Thanasi Kokkinakis,1,3,54,55,46,36,8,9,54,45,3,5,14,23,7,0,7,6,NA
Rafael Nadal,1,1,62,14,38,6,5,1,13,5,1,1,5,5,6,NA,NA,NA,NA
Leonardo Mayer,0,0,52,28,48,17,3,7,14,39,0,0,7,11,0,4,4,NA,NA
Dmitry Tursunov,0,1,53,45,47,26,5,5,31,44,3,10,24,38,6,6,1,4,NA
Sam Querrey,1,3,72,45,28,11,19,4,30,21,5,9,6,11,6,6,6,NA,NA
Fabio Fognini,1,3,58,62,42,30,9,12,51,60,5,15,27,33,7,6,3,6,NA
Nikolay Davydenko,0,0,77,48,23,11,6,1,39,43,4,5,9,12,6,4,4,NA,NA
Tommy Robredo,1,3,58,61,42,38,17,3,66,25,4,13,13,17,6,6,6,7,NA
Matthew Ebden,0,1,68,64,32,19,8,3,30,43,3,11,26,35,6,6,6,1,NA
Stanislas Wawrinka,1,3,56,57,44,31,9,4,61,46,6,17,23,29,6,6,6,6,NA
Adrian Mannarino,0,1,55,44,45,25,5,1,32,73,5,10,18,31,6,7,0,3,NA
Jeremy Chardy,1,3,60,74,40,30,22,10,76,73,5,14,24,38,7,7,6,7,NA
Pablo Andujar,0,1,79,71,21,20,11,1,57,28,3,11,17,26,6,6,6,3,NA
Mikhail Youzhny,0,2,55,55,45,36,14,5,48,46,3,7,14,21,4,6,3,6,3
Edouard Roger-Vasselin,1,3,57,49,43,28,11,2,11,2,7,17,,,7,6,4,6,NA
Kevin Anderson,1,3,65,43,35,18,15,5,30,22,3,5,12,15,6,6,6,NA,NA
Damir Dzumhur,0,2,51,36,49,26,7,6,33,27,3,5,12,18,4,4,6,4,NA
Tomas Berdych,1,3,64,37,36,15,5,4,29,13,5,8,21,25,6,6,6,NA,NA
Blaz Kavcic,0,0,62,32,38,18,6,3,14,21,1,2,4,13,2,1,6,NA,NA
Fernando Verdasco,0,2,60,67,40,34,12,18,56,71,6,10,15,26,6,6,6,4,4
Marin Cilic,0,2,50,50,50,32,15,7,15,7,7,15,,,6,6,7,1,2
Jo-Wilfried Tsonga,1,3,64,51,36,18,14,6,47,28,3,9,16,24,7,6,6,NA,NA
Blaz Rola,0,1,63,66,37,24,12,8,12,8,3,4,,,4,3,7,6,NA
Stephane Robert,1,3,58,56,42,30,13,8,43,28,6,17,13,15,7,6,6,6,NA
Michael Berrer,0,0,68,47,32,17,6,3,29,25,2,4,37,61,4,6,4,NA,NA
Andy Murray,1,3,59,35,41,17,5,5,25,31,8,17,7,7,6,6,7,NA,NA
Roberto Bautista Agut,1,3,69,88,31,23,12,6,72,59,5,8,20,28,4,6,5,6,7
Benoit Paire,1,3,50,68,50,47,32,5,78,45,7,24,28,32,6,6,6,6,6
Yen-Hsun Lu,0,0,70,47,30,19,2,2,23,46,2,4,13,18,3,3,6,NA,NA
Milos Raonic,1,3,64,57,36,23,27,2,63,36,2,6,17,25,7,6,6,NA,NA
Dusan Lajovic,0,0,70,37,30,8,7,3,17,49,1,5,4,7,1,1,6,NA,NA
Andreas Seppi,0,2,57,57,43,33,12,10,47,65,6,18,9,15,4,6,3,6,5
Jack Sock,0,0,58,48,42,23,5,9,34,37,1,1,16,29,6,5,2,NA,NA
Rafael Nadal,1,3,74,45,26,11,7,1,39,19,5,10,11,14,6,6,6,NA,NA
Denis Istomin,0,0,65,41,35,10,5,1,14,26,1,1,3,9,3,3,5,NA,NA
Fabio Fognini,1,3,60,41,40,26,9,3,43,26,4,10,7,11,7,6,6,NA,NA
Tommy Robredo,1,3,65,70,35,21,16,3,51,38,3,7,18,25,2,7,6,7,NA
Jeremy Chardy,0,0,58,44,42,17,8,8,30,51,1,3,17,27,2,6,2,NA,NA
Florian Mayer,1,3,68,42,32,15,17,0,38,7,5,11,12,13,7,6,6,NA,NA
Kevin Anderson,1,3,67,77,33,26,27,6,82,69,3,12,22,30,3,4,6,7,7
Tomas Berdych,1,3,57,37,43,19,13,1,32,26,5,9,13,18,6,6,6,NA,NA
Teymuraz Gabashvili,0,0,69,38,31,10,3,5,27,33,0,5,7,19,2,2,3,NA,NA
Jo-Wilfried Tsonga,1,3,66,49,34,20,17,0,40,29,3,6,20,27,7,6,6,NA,NA
Stephane Robert,1,3,72,54,28,11,7,5,35,23,4,10,14,17,6,7,6,NA,NA
Andy Murray,1,3,64,50,36,16,6,2,29,30,4,11,11,18,7,6,6,NA,NA
Benoit Paire,0,0,58,30,42,10,13,3,31,59,2,7,11,22,2,1,4,NA,NA
Milos Raonic,0,1,59,55,41,30,21,5,50,39,1,3,22,53,3,6,4,6,NA
Donald Young,0,0,64,23,36,7,1,5,17,32,1,4,15,30,5,1,0,NA,NA
Rafael Nadal,1,3,67,38,33,20,2,0,21,18,6,12,9,13,6,6,6,NA,NA
Fabio Fognini,0,0,59,32,41,13,3,7,20,44,0,0,11,16,3,0,2,NA,NA
Stanislas Wawrinka,1,3,56,54,44,24,14,3,57,37,2,5,17,25,6,7,7,NA,NA
Florian Mayer,0,1,61,52,39,27,4,3,33,49,3,11,29,56,7,5,2,1,NA
Tomas Berdych,1,3,52,33,48,21,4,3,38,17,5,17,15,18,6,6,6,NA,NA
Jo-Wilfried Tsonga,0,0,52,32,48,23,8,1,29,28,0,1,11,25,3,5,4,NA,NA
Andy Murray,1,3,62,59,38,25,8,3,48,47,7,14,16,24,6,6,6,6,NA
Grigor Dimitrov,1,3,60,57,40,21,11,3,38,34,4,5,23,35,6,3,6,6,NA
Rafael Nadal,1,3,71,67,29,14,12,1,36,28,5,8,10,19,7,7,7,NA,NA
Stanislas Wawrinka,1,3,58,71,42,36,17,5,51,60,5,10,20,30,2,6,6,3,9
Tomas Berdych,1,3,52,52,48,27,10,4,43,62,5,13,18,28,6,6,2,6,NA
Andy Murray,0,1,61,60,39,28,9,1,41,46,1,2,17,27,3,4,7,3,NA
Rafael Nadal,1,3,73,66,27,22,3,7,42,47,4,11,32,36,3,7,7,6,NA
Tomas Berdych,0,1,62,71,38,30,21,7,60,49,0,1,23,31,3,7,6,6,NA
Rafael Nadal,1,3,65,41,35,22,3,1,28,25,4,14,3,10,7,6,6,NA,NA
Rafael Nadal,0,1,78,50,22,10,1,3,19,32,2,6,5,8,3,2,6,3,NA
Novak Djokovic,1,3,68,45,32,17,10,0,40,30,4,8,8,9,6,7,6,NA,NA
Albert Montanes,0,0,60,23,40,9,1,4,1,4,0,0,,,1,3,1,NA,NA
Denis Istomin,1,3,77,57,23,15,9,1,41,41,4,13,12,16,6,7,6,NA,NA
Michael Russell,0,0,50,24,50,19,1,8,1,8,1,7,,,2,2,3,NA,NA
Ernests Gulbis,1,3,53,59,47,32,17,11,59,79,3,5,16,28,1,6,7,6,NA
Sam Querrey,1,3,63,60,37,22,24,4,47,45,4,7,14,17,6,6,3,7,NA
Jarkko Nieminen,1,3,60,66,40,34,2,6,57,72,10,17,25,36,3,7,6,6,6
Alex Bogomolov Jr.,0,0,54,26,46,13,0,11,11,46,2,6,8,12,3,2,NA,NA,NA
Richard Gasquet,1,3,67,42,33,14,12,,32,20,7,10,8,11,7,6,6,NA,NA
Lukasz Kubot,0,2,60,68,40,25,8,12,8,12,6,14,,,6,3,6,3,4
Julien Benneteau,1,3,66,62,34,24,16,4,49,46,7,19,30,43,6,3,4,6,6
Lukas Rosol,0,2,51,72,49,41,11,12,82,96,3,7,28,44,1,7,6,6,6
Vasek Pospisil,1,3,67,45,33,13,6,4,31,17,4,10,6,10,6,6,6,NA,NA
Matthew Ebden,1,3,67,58,33,23,7,7,45,55,6,12,28,37,6,7,4,0,6
Mikhail Kukushkin,0,1,55,55,45,23,2,3,2,3,4,14,,,7,2,2,3,NA
Andrey Golubev,0,0,64,18,36,10,0,0,8,15,1,2,6,12,4,1,NA,NA,NA
David Ferrer,1,3,53,28,47,21,2,6,33,30,8,12,18,22,6,6,6,NA,NA
Adrian Mannarino,1,3,58,52,42,37,3,3,3,3,7,11,,,3,6,6,5,6
Alexandr Dolgopolov,1,3,58,42,42,23,7,4,37,31,5,16,12,12,7,7,6,NA,NA
Jesse Huta Galung,0,0,57,41,43,13,9,7,30,33,0,5,14,17,2,4,4,NA,NA
Jerzy Janowicz,1,3,64,74,36,27,18,11,62,64,5,9,31,46,1,4,6,6,6
Pablo Andujar,1,3,73,40,27,15,2,1,2,1,7,12,,,6,6,6,NA,NA
Denis Kudla,0,0,59,35,41,18,1,2,31,45,1,3,12,20,4,2,4,NA,NA
Jan-Lennard Struff,0,0,49,24,51,12,2,8,20,61,2,5,15,22,1,4,2,NA,NA
Tommy Haas,0,0,52,22,48,11,4,7,18,35,1,2,10,10,5,2,NA,NA,NA
Edouard Roger-Vasselin,1,3,65,67,35,32,6,6,6,6,7,16,,,6,7,6,6,NA
Joao Sousa,0,1,65,57,35,30,8,0,8,0,3,8,,,7,4,3,6,NA
Jiri Vesely,0,2,57,69,43,43,16,10,16,10,2,6,,,6,7,4,4,4
Ivan Dodig,1,3,83,68,17,12,8,2,41,7,2,3,24,35,7,6,7,NA,NA
Damir Dzumhur,1,3,53,31,47,19,4,3,4,3,7,12,,,6,6,6,NA,NA
Kenny De Schepper,1,3,62,63,38,20,19,13,58,66,4,11,29,44,7,7,7,NA,NA
Aleksandr Nedovyesov,0,0,61,37,39,17,8,2,22,37,0,2,11,16,3,4,3,NA,NA
Roger Federer,1,3,58,40,42,19,11,5,30,17,4,17,18,22,6,6,6,NA,NA
Blaz Kavcic,1,2,63,43,37,22,10,6,41,27,6,14,6,15,6,4,6,2,NA
Sergiy Stakhovsky,0,1,55,50,45,21,14,8,14,8,3,6,,,7,4,2,0,NA
Ze Zhang,0,1,58,44,42,25,7,6,20,48,1,5,10,17,7,3,2,3,NA
Gilles Simon,1,3,56,114,44,57,32,18,75,53,4,10,37,55,6,6,3,6,1
Marcel Granollers,0,2,61,64,39,27,13,4,41,34,2,3,20,29,6,6,3,3,2
Julian Reister,0,1,60,41,40,16,4,9,21,36,4,8,8,19,6,3,6,NA,NA
Filippo Volandri,0,0,57,35,43,20,2,6,28,39,1,2,20,31,5,3,3,NA,NA
John Isner,0,0,78,36,22,6,10,0,23,23,0,3,5,10,2,6,NA,NA,NA
Federico Delbonis,0,0,63,38,37,16,4,1,4,1,0,8,,,4,2,5,NA,NA
Horacio Zeballos,0,0,60,43,40,18,11,4,11,4,2,4,,,3,6,5,NA,NA
Aljaz Bedene,0,0,54,40,46,9,16,11,28,52,4,5,6,10,6,3,0,NA,NA
Feliciano Lopez,1,3,65,50,35,18,12,2,12,2,4,7,,,6,6,7,NA,NA
Michael Llodra,0,0,72,47,28,12,10,5,10,5,0,2,,,4,5,1,NA,NA
Wayne Odesnik,0,2,67,67,33,22,11,2,39,73,7,20,10,17,5,6,7,1,3
Go Soeda,0,0,61,28,39,6,6,3,23,33,0,0,11,16,1,1,3,NA,NA
Juan Martin Del Potro,1,3,64,62,36,23,16,3,46,29,4,8,21,28,6,6,6,6,NA
Tim Smyczek,0,0,61,28,39,10,8,5,8,5,1,2,,,2,1,1,NA,NA
Benjamin Becker,0,1,53,45,47,31,12,5,38,36,3,7,6,6,3,7,2,6,NA
Frank Dancevic,0,0,59,47,41,20,12,3,36,14,1,4,15,32,6,3,4,NA,NA
Grigor Dimitrov,1,3,57,55,43,30,14,4,14,4,4,8,,,6,6,6,6,NA
Yen-Hsun Lu,1,3,62,33,38,11,9,5,9,5,9,19,,,6,6,6,NA,NA
Victor Hanescu,1,3,66,60,34,23,9,4,24,34,2,6,10,12,7,7,6,NA,NA
Daniel Gimeno-Traver,0,1,56,43,44,25,5,5,22,33,3,6,8,12,6,1,6,2,NA
Kei Nishikori,1,3,66,68,34,25,6,6,44,50,7,15,11,16,6,5,6,4,6
Lucas Pouille,0,1,61,55,39,22,2,10,41,88,4,8,23,39,4,6,6,3,NA
Donald Young,1,3,73,58,27,16,0,5,34,33,2,7,29,40,6,7,6,1,NA
Lleyton Hewitt,0,2,51,76,49,38,23,5,54,61,7,13,23,40,6,3,7,7,5
Gael Monfils,1,3,64,43,36,18,9,5,43,27,3,4,18,22,6,6,6,NA,NA
Jack Sock,1,3,50,54,50,43,16,12,16,12,4,10,,,7,5,6,6,NA
Igor Sijsling,0,1,59,56,41,23,20,5,53,47,4,9,23,36,6,6,6,2,NA
Bernard Tomic,0,0,71,15,29,3,3,1,13,7,0,0,3,5,4,NA,NA,NA,NA
Novak Djokovic,1,3,66,36,34,17,12,2,30,11,5,6,5,9,6,6,6,NA,NA
Denis Istomin,1,3,54,47,46,36,14,1,46,34,5,8,14,18,7,4,6,6,NA
Ernests Gulbis,0,0,46,23,54,21,7,4,19,41,1,3,6,11,2,3,4,NA,NA
Jarkko Nieminen,0,1,65,57,35,23,3,5,24,37,2,16,15,24,5,4,6,2,NA
Richard Gasquet,1,3,58,41,42,21,9,5,33,37,6,11,10,15,7,6,6,NA,NA
Julien Benneteau,0,1,62,68,38,27,14,6,64,65,1,11,42,65,3,7,1,6,NA
Vasek Pospisil,1,3,60,59,40,31,13,3,46,47,4,5,25,39,3,7,7,6,NA
Alejandro Falla,0,1,60,56,40,25,1,3,26,37,2,7,24,39,3,3,7,4,NA
David Ferrer,1,3,68,56,32,18,0,4,32,48,9,17,21,22,7,5,6,6,NA
Alexandr Dolgopolov,0,1,71,81,29,22,15,2,43,36,4,12,19,24,5,6,7,6,NA
Jerzy Janowicz,1,3,67,76,33,25,15,5,63,47,3,11,11,18,4,7,7,6,NA
Florian Mayer,1,3,60,59,40,33,19,3,48,41,4,11,29,42,6,3,6,3,6
Guillermo Garcia-Lopez,0,1,51,46,49,26,9,10,9,10,4,13,,,6,4,6,1,NA
Dominic Thiem,0,0,59,34,41,16,10,3,28,21,0,2,2,5,4,3,4,NA,NA
Ivan Dodig,1,2,55,39,45,20,13,2,37,43,3,7,12,19,6,6,3,1,NA
Kenny De Schepper,0,0,63,33,37,10,8,9,29,32,0,0,14,25,4,1,3,NA,NA
Roger Federer,1,3,76,45,24,9,11,0,52,35,6,11,23,29,6,6,7,NA,NA
Teymuraz Gabashvili,1,3,68,62,32,26,2,4,24,51,5,17,6,10,7,3,2,6,6
Gilles Simon,1,3,49,65,51,41,7,8,7,8,10,12,,,4,7,6,6,6
Thomaz Bellucci,0,0,45,31,55,34,9,5,19,29,1,4,13,18,6,4,4,NA,NA
Martin Klizan,1,3,58,49,42,34,16,5,16,5,5,14,,,6,6,5,7,NA
Michal Przysiezny,0,1,58,50,42,24,12,6,46,63,2,7,22,36,6,1,7,1,NA
Feliciano Lopez,1,3,62,45,38,23,8,3,43,24,4,11,17,21,6,7,6,NA,NA
Vincent Millot,0,0,55,25,45,20,2,7,22,55,3,4,12,20,2,2,5,NA,NA
Juan Martin Del Potro,0,2,72,76,28,21,28,2,53,41,4,17,13,25,6,3,7,4,5
Nick Kyrgios,0,2,66,86,34,27,24,11,59,74,2,10,21,35,7,7,4,2,2
Grigor Dimitrov,1,3,59,49,41,18,15,7,36,35,5,21,5,9,6,6,7,NA,NA
Victor Hanescu,0,0,67,55,33,22,6,1,23,23,0,5,7,10,6,4,4,NA,NA
Kei Nishikori,1,3,64,43,36,15,5,3,30,27,6,12,10,14,6,6,7,NA,NA
Donald Young,1,3,61,71,39,29,6,15,47,78,6,15,31,48,6,2,6,4,7
Gael Monfils,1,3,62,47,38,23,13,3,39,30,4,11,20,26,7,7,6,NA,NA
Thanasi Kokkinakis,0,0,67,33,33,10,4,3,21,24,0,3,8,10,2,4,2,NA,NA
Novak Djokovic,1,3,63,38,37,20,6,1,31,23,5,8,16,21,6,6,7,NA,NA
Sam Querrey,0,0,63,43,37,19,10,1,27,41,1,4,11,23,5,4,4,NA,NA
Richard Gasquet,0,1,62,61,38,28,4,5,62,34,3,9,44,57,6,5,4,6,NA
David Ferrer,1,3,72,44,28,17,2,1,22,24,5,11,10,12,6,7,6,NA,NA
Jerzy Janowicz,0,0,53,34,47,18,3,7,34,44,0,1,11,15,5,2,2,NA,NA
Edouard Roger-Vasselin,0,2,74,94,26,20,8,4,43,34,3,7,17,29,6,6,3,6,5
Damir Dzumhur,0,0,44,25,56,17,5,6,21,34,0,2,5,9,4,2,2,NA,NA
Roger Federer,1,3,62,39,38,16,6,1,35,18,5,14,11,20,6,6,6,NA,NA
Gilles Simon,0,0,53,34,47,22,7,3,21,25,0,3,23,28,6,4,2,NA,NA
Martin Klizan,0,0,53,32,47,21,6,4,36,38,0,3,18,29,0,6,4,NA,NA
Feliciano Lopez,0,0,57,39,43,20,8,7,31,44,1,1,26,37,6,4,2,NA,NA
Roberto Bautista Agut,1,3,83,46,17,7,4,1,21,23,7,20,11,14,6,6,6,NA,NA
Grigor Dimitrov,1,3,60,55,40,33,15,5,49,13,2,4,12,15,6,3,6,7,NA
Kei Nishikori,1,3,54,29,46,21,3,1,30,27,8,12,3,7,7,6,6,NA,NA
Gael Monfils,0,0,69,39,31,10,10,5,33,57,0,6,4,9,1,2,3,NA,NA
Novak Djokovic,1,3,72,38,28,12,7,2,33,21,6,22,12,16,6,6,6,NA,NA
